Идентификатор новости,Название новости,Дата размещения,URL
14932,ИТМО возглавил рейтинг лучших вузов России по версии студентов,Дата не найдена,https://news.itmo.ru/ru/university_live/ratings/news/14932/
14792,"Более 400 участников, 30 регионов и 6 треков: главные итоги и цифры рекордного сезона финалов НТО в ИТМО",Дата не найдена,https://news.itmo.ru/ru/education/cooperation/news/14792/
14771,Топ образование по программированию и ИИ в 2026-м: на что смотреть и как выбирать,Дата не найдена,https://news.itmo.ru/ru/education/trend/news/14771/
14666,Выбрать вуз без спешки и стресса: календарь дней открытых дверей в ИТМО на 2026 год,Дата не найдена,https://news.itmo.ru/ru/education/official/news/14666/
14508,Как готовить топ-специалистов для технологического лидерства: успешные практики от экспертов ИТМО,Дата не найдена,https://news.itmo.ru/ru/education/trend/news/14508/
14481,Рекорды и ключевые цифры: главные итоги приемной кампании ИТМО 2025,Дата не найдена,https://news.itmo.ru/ru/education/official/news/14481/
14438,ИТМО — в топ-3 вузов по подготовке специалистов в области ИИ ,Дата не найдена,https://news.itmo.ru/ru/university_live/ratings/news/14438/
14434,ИТМО ― самый популярный петербургский вуз у победителей олимпиад,Дата не найдена,https://news.itmo.ru/ru/education/trend/news/14434/
14405,ИТМО и «Газпром нефть» займутся развитием ИИ-образования в рамках нацпроекта,Дата не найдена,https://news.itmo.ru/ru/education/cooperation/news/14405/
14290,ИТМО получит более 350 миллионов рублей на развитие образовательных программ в сфере ИИ ,Дата не найдена,https://news.itmo.ru/ru/university_live/achievements/news/14290/
14932,ИТМО возглавил рейтинг лучших вузов России по версии студентов,Дата не найдена,https://news.itmo.ru/ru/university_live/ratings/news/14932/
14792,"Более 400 участников, 30 регионов и 6 треков: главные итоги и цифры рекордного сезона финалов НТО в ИТМО",Дата не найдена,https://news.itmo.ru/ru/education/cooperation/news/14792/
14771,Топ образование по программированию и ИИ в 2026-м: на что смотреть и как выбирать,Дата не найдена,https://news.itmo.ru/ru/education/trend/news/14771/
14666,Выбрать вуз без спешки и стресса: календарь дней открытых дверей в ИТМО на 2026 год,Дата не найдена,https://news.itmo.ru/ru/education/official/news/14666/
14508,Как готовить топ-специалистов для технологического лидерства: успешные практики от экспертов ИТМО,Дата не найдена,https://news.itmo.ru/ru/education/trend/news/14508/
14481,Рекорды и ключевые цифры: главные итоги приемной кампании ИТМО 2025,Дата не найдена,https://news.itmo.ru/ru/education/official/news/14481/
14438,ИТМО — в топ-3 вузов по подготовке специалистов в области ИИ ,Дата не найдена,https://news.itmo.ru/ru/university_live/ratings/news/14438/
14434,ИТМО ― самый популярный петербургский вуз у победителей олимпиад,Дата не найдена,https://news.itmo.ru/ru/education/trend/news/14434/
14405,ИТМО и «Газпром нефть» займутся развитием ИИ-образования в рамках нацпроекта,Дата не найдена,https://news.itmo.ru/ru/education/cooperation/news/14405/
14290,ИТМО получит более 350 миллионов рублей на развитие образовательных программ в сфере ИИ ,Дата не найдена,https://news.itmo.ru/ru/university_live/achievements/news/14290/
